"","formulaString","adj_r2"
"454","salary~STL+Pos+Age",0.359257348144342
"455","salary~Pos+STL+Age",0.359257348144343
"456","salary~Age+STL+Pos",0.359257348144343
"457","salary~BLK*`eFG%`*Pos",0.207427547424977
"458","salary~BLK*`eFG%`+Pos",0.183006922067196
"459","salary~BLK*Pos+`eFG%`",0.179796644832205
"460","salary~`eFG%`*Pos+BLK",0.156996079358917
"461","salary~BLK+`eFG%`+Pos",0.152238450226183
"462","salary~`eFG%`+BLK+Pos",0.152238450226183
"463","salary~Pos+BLK+`eFG%`",0.152238450226183
"464","salary~BLK*`eFG%`*Age",0.287466059761801
"465","salary~BLK*`eFG%`+Age",0.279484772809982
"466","salary~BLK*Age+`eFG%`",0.248470993055849
"467","salary~`eFG%`*Age+BLK",0.242860127671915
"468","salary~BLK+`eFG%`+Age",0.243497763675166
"469","salary~`eFG%`+BLK+Age",0.243497763675166
"470","salary~Age+BLK+`eFG%`",0.243497763675166
"471","salary~BLK*Pos*Age",0.327625488342701
"472","salary~BLK*Pos+Age",0.304090140179416
"473","salary~BLK*Age+Pos",0.286414085074176
"474","salary~Pos*Age+BLK",0.294979501356281
"475","salary~BLK+Pos+Age",0.279599694203339
"476","salary~Pos+BLK+Age",0.279599694203339
"477","salary~Age+BLK+Pos",0.279599694203339
"478","salary~`eFG%`*Pos*Age",0.190954978972789
"479","salary~`eFG%`*Pos+Age",0.159012171051799
"480","salary~`eFG%`*Age+Pos",0.157298863366326
"481","salary~Pos*Age+`eFG%`",0.179808053096014
"482","salary~`eFG%`+Pos+Age",0.159007129498089
"483","salary~Pos+`eFG%`+Age",0.159007129498089
"484","salary~Age+`eFG%`+Pos",0.159007129498089
"485","salary~PTS*TRB*AST*STL",0.474173490336455
"486","salary~PTS*TRB*AST+STL",0.472241963740794
"487","salary~PTS*TRB*STL+AST",0.458208739140712
"488","salary~PTS*AST*STL+TRB",0.46002906988707
"489","salary~TRB*AST*STL+PTS",0.450789415601749
"490","salary~PTS*TRB+AST*STL",0.456568789571562
"491","salary~PTS*AST+TRB*STL",0.462033587827482
"492","salary~PTS*STL+TRB*AST",0.453484495665879
"493","salary~TRB*AST+PTS*STL",0.453484495665879
"494","salary~TRB*STL+PTS*AST",0.462033587827482
"495","salary~AST*STL+PTS*TRB",0.456568789571562
"496","salary~PTS*TRB+AST+STL",0.455219243743778
"497","salary~PTS*AST+TRB+STL",0.457163837299937
"498","salary~PTS*STL+TRB+AST",0.45124555255919
"499","salary~TRB*AST+PTS+STL",0.45224236860307
"500","salary~TRB*STL+PTS+AST",0.451276057828333
"501","salary~AST*STL+PTS+TRB",0.451266373358801
"502","salary~PTS+TRB+AST+STL",0.452327563805179
"503","salary~TRB+PTS+AST+STL",0.452327563805179
"504","salary~AST+PTS+TRB+STL",0.452327563805179
"505","salary~STL+PTS+TRB+AST",0.452327563805179
"506","salary~PTS*TRB*AST*BLK",0.475511279448136
"507","salary~PTS*TRB*AST+BLK",0.466106906760066
"508","salary~PTS*TRB*BLK+AST",0.457489302313709
"509","salary~PTS*AST*BLK+TRB",0.465052015707556
"510","salary~TRB*AST*BLK+PTS",0.458204427188729
"511","salary~PTS*TRB+AST*BLK",0.457696560329845
"512","salary~PTS*AST+TRB*BLK",0.45743778371289
"513","salary~PTS*BLK+TRB*AST",0.458223629916888
"514","salary~TRB*AST+PTS*BLK",0.458223629916888
"515","salary~TRB*BLK+PTS*AST",0.45743778371289
"516","salary~AST*BLK+PTS*TRB",0.457696560329845
"517","salary~PTS*TRB+AST+BLK",0.454012429694033
"518","salary~PTS*AST+TRB+BLK",0.44482015438007
"519","salary~PTS*BLK+TRB+AST",0.459350806826585
"520","salary~TRB*AST+PTS+BLK",0.449186958882235
"521","salary~TRB*BLK+PTS+AST",0.452947260721669
"522","salary~AST*BLK+PTS+TRB",0.458158468880724
"523","salary~PTS+TRB+AST+BLK",0.445195781705346
"524","salary~TRB+PTS+AST+BLK",0.445195781705346
"525","salary~AST+PTS+TRB+BLK",0.445195781705346
"526","salary~BLK+PTS+TRB+AST",0.445195781705346
"527","salary~PTS*TRB*AST*`eFG%`",0.472918647308108
"528","salary~PTS*TRB*AST+`eFG%`",0.458582379771502
"529","salary~PTS*TRB*`eFG%`+AST",0.460154979246926
"530","salary~PTS*AST*`eFG%`+TRB",0.441914755775508
"531","salary~TRB*AST*`eFG%`+PTS",0.450190379914749
"532","salary~PTS*TRB+AST*`eFG%`",0.446149647579837
"533","salary~PTS*AST+TRB*`eFG%`",0.439537612997711
"534","salary~PTS*`eFG%`+TRB*AST",0.441717972417144
"535","salary~TRB*AST+PTS*`eFG%`",0.441717972417144
"536","salary~TRB*`eFG%`+PTS*AST",0.439537612997711
"537","salary~AST*`eFG%`+PTS*TRB",0.446149647579837
"538","salary~PTS*TRB+AST+`eFG%`",0.447087543885763
"539","salary~PTS*AST+TRB+`eFG%`",0.438634447761055
"540","salary~PTS*`eFG%`+TRB+AST",0.438687543064351
"541","salary~TRB*AST+PTS+`eFG%`",0.441532962700549
"542","salary~TRB*`eFG%`+PTS+AST",0.439280374086447
"543","salary~AST*`eFG%`+PTS+TRB",0.437992579317145
